Simple,6,,,,
1,2,3,4,5,6
0,0,-90,40,0,30
0,0,-90,-27.44812781,-65.15289088,30
0,0,-90,-27.44812781,-65.15289088,0
0,0,-90,-27.46000311,-65.36086558,0
0,0,-90,-27.47080188,-65.5674547,0
0,0,-90,-27.48052947,-65.77266776,0
0,0,-90,-27.48919106,-65.97651405,0
0,0,-90,-27.49679177,-66.17900266,0
0,0,-90,-27.50333658,-66.38014248,0
0,0,-90,-27.50883036,-66.57994223,0
0,0,-90,-27.51327791,-66.7784104,0
0,0,-90,-27.5166839,-66.97555533,0
0,0,-90,-27.51905292,-67.17138516,0
0,0,-90,-27.52038945,-67.36590787,0
0,0,-90,-27.52069789,-67.55913127,0
0,0,-90,-27.51998255,-67.75106299,0
0,0,-90,-27.51824765,-67.9417105,0
0,0,-90,-27.51549733,-68.13108112,0
0,0,-90,-27.51173563,-68.31918201,0
0,0,-90,-27.50696654,-68.50602018,0
0,0,-90,-27.50119394,-68.6916025,0
0,0,-90,-27.49442166,-68.87593567,0
0,0,-90,-27.48665345,-69.05902628,0
0,0,-90,-27.47789298,-69.24088076,0
0,0,-90,-27.46814386,-69.42150542,0
0,0,-90,-27.45740962,-69.60090642,0
0,0,-90,-27.44569373,-69.77908982,0
0,0,-90,-27.43299961,-69.95606153,0
0,0,-90,-27.41933059,-70.13182734,0
0,0,-90,-27.40468996,-70.30639293,0
0,0,-90,-27.38908095,-70.47976386,0
0,0,-90,-27.37250673,-70.65194557,0
0,0,-90,-27.35497039,-70.82294338,0
0,0,-90,-27.33647501,-70.99276252,0
0,0,-90,-27.31702358,-71.1614081,0
0,0,-90,-27.29661906,-71.32888512,0
0,0,-90,-27.27526435,-71.49519849,0
0,0,-90,-27.25296231,-71.66035301,0
0,0,-90,-27.22971573,-71.82435339,0
0,0,-90,-27.20552739,-71.98720422,0
0,0,-90,-27.1804,-72.14891003,0
0,0,-90,-27.15433622,-72.30947523,0
0,0,-90,-27.1273387,-72.46890416,0
0,0,-90,-27.09941001,-72.62720104,0
0,0,-90,-27.07055271,-72.78437004,0
0,0,-90,-27.04076931,-72.94041521,0
0,0,-90,-27.01006228,-73.09534055,0
0,0,-90,-26.97843406,-73.24914996,0
0,0,-90,-26.94588705,-73.40184726,0
0,0,-90,-26.91242361,-73.55343619,0
0,0,-90,-26.91242361,-73.55343619,30
0,0,-90,-27.43299961,-69.95606153,30
0,0,-90,-27.43299961,-69.95606153,0
0,0,-90,-27.73179093,-70.33303889,0
0,0,-90,-28.02986386,-70.70812875,0
0,0,-90,-28.32723763,-71.0813602,0
0,0,-90,-28.62393107,-71.45276155,0
0,0,-90,-28.91996256,-71.82236039,0
0,0,-90,-29.21535009,-72.1901836,0
0,0,-90,-29.51011127,-72.55625737,0
0,0,-90,-29.80426331,-72.92060721,0
0,0,-90,-30.09782309,-73.283258,0
0,0,-90,-30.39080713,-73.64423401,0
0,0,-90,-30.6832316,-74.0035589,0
0,0,-90,-30.97511235,-74.36125575,0
0,0,-90,-31.26646495,-74.71734708,0
0,0,-90,-31.55730462,-75.07185487,0
0,0,-90,-31.84764631,-75.42480058,0
0,0,-90,-32.13750469,-75.77620514,0
0,0,-90,-32.42689416,-76.12608901,0
0,0,-90,-32.71582884,-76.47447217,0
0,0,-90,-33.00432261,-76.82137411,0
0,0,-90,-33.2923891,-77.16681392,0
0,0,-90,-33.5800417,-77.51081021,0
0,0,-90,-33.86729357,-77.85338119,0
0,0,-90,-34.15415765,-78.19454465,0
0,0,-90,-34.44064664,-78.53431799,0
0,0,-90,-34.72677308,-78.87271823,0
0,0,-90,-35.01254926,-79.20976199,0
0,0,-90,-35.29798729,-79.54546556,0
0,0,-90,-35.58309911,-79.87984484,0
0,0,-90,-35.86789644,-80.21291541,0
0,0,-90,-36.15239085,-80.54469251,0
0,0,-90,-36.43659373,-80.87519105,0
0,0,-90,-36.72051629,-81.20442563,0
0,0,-90,-37.00416959,-81.53241053,0
0,0,-90,-37.28756454,-81.85915975,0
0,0,-90,-37.57071187,-82.18468697,0
0,0,-90,-37.85362219,-82.50900562,0
0,0,-90,-38.13630596,-82.83212882,0
0,0,-90,-38.41877348,-83.15406944,0
0,0,-90,-38.70103495,-83.47484008,0
0,0,-90,-38.98310041,-83.79445309,0
0,0,-90,-39.26497978,-84.11292057,0
0,0,-90,-39.54668287,-84.43025436,0
0,0,-90,-39.82821935,-84.74646608,0
0,0,-90,-40.10959879,-85.06156712,0
0,0,-90,-40.39083064,-85.37556863,0
0,0,-90,-40.67192424,-85.68848154,0
0,0,-90,-40.95288883,-86.00031658,0
0,0,-90,-40.95288883,-86.00031658,30
0,0,-90,-42.13232376,-82.47128454,30
0,0,-90,-42.13232376,-82.47128454,0
0,0,-90,-42.13016854,-82.66176664,0
0,0,-90,-42.12706107,-82.85121302,0
