simple,9,,,,,,,
1,2,3,4,5,6,7,8,9
0,0,-100,-27.80810583,-73.84142169,0,0,0,0
0,0,-100,-27.84555281,-73.64787286,0,0,0,0
0,0,-100,-27.88157792,-73.45261171,0,0,0,0
0,0,-100,-27.91617659,-73.25563077,0,0,0,0
0,0,-100,-27.94934419,-73.05692241,0,0,0,0
0,0,-100,-27.98107598,-72.85647879,0,0,0,0
0,0,-100,-28.01136712,-72.65429185,0,0,0,0
0,0,-100,-28.04021268,-72.45035334,0,0,0,0
0,0,-100,-28.06760764,-72.24465477,0,0,0,0
0,0,-100,-28.09354686,-72.03718745,0,0,0,0
0,0,-100,-28.11802509,-71.82794245,0,0,0,0
0,0,-100,-28.14103699,-71.61691061,0,0,0,0
0,0,-100,-28.16257708,-71.40408252,0,0,0,0
0,0,-100,-28.18263977,-71.18944855,0,0,0,0
0,0,-99.5,-28.18263977,-71.18944855,0,0,0,0
0,0,-99,-28.18263977,-71.18944855,0,0,0,0
0,0,-98.5,-28.18263977,-71.18944855,0,0,0,0
0,0,-98,-28.18263977,-71.18944855,0,0,0,0
0,0,-97.5,-28.18263977,-71.18944855,0,0,0,0
0,0,-97,-28.18263977,-71.18944855,0,0,0,0
0,0,-96.5,-28.18263977,-71.18944855,0,0,0,0
0,0,-96,-28.18263977,-71.18944855,0,0,0,0
0,0,-95.5,-28.18263977,-71.18944855,0,0,0,0
0,0,-95,-28.18263977,-71.18944855,0,0,0,0
0,0,-94.5,-28.18263977,-71.18944855,0,0,0,0
0,0,-94,-28.18263977,-71.18944855,0,0,0,0
0,0,-93.5,-28.18263977,-71.18944855,0,0,0,0
0,0,-93,-28.18263977,-71.18944855,0,0,0,0
0,0,-92.5,-28.18263977,-71.18944855,0,0,0,0
0,0,-92,-28.18263977,-71.18944855,0,0,0,0
0,0,-91.5,-28.18263977,-71.18944855,0,0,0,0
0,0,-91,-28.18263977,-71.18944855,0,0,0,0
0,0,-90.5,-28.18263977,-71.18944855,0,0,0,0
0,0,-90,-28.18263977,-71.18944855,0,0,0,0
0,0,-90,-28.18263977,-71.18944855,0,0,0,0
0,0,-90,-28.91630487,-72.10764632,0,0,0,0
0,0,-90,-29.64607694,-73.0150223,0,0,0,0
0,0,-90,-30.37221706,-73.91196284,0,0,0,0
0,0,-90,-31.09497316,-74.79883087,0,0,0,0
0,0,-90,-31.81458115,-75.67596778,0,0,0,0
0,0,-90,-32.53126589,-76.54369507,0,0,0,0
0,0,-90,-33.24524214,-77.4023159,0,0,0,0
0,0,-90,-33.95671529,-78.25211643,0,0,0,0
0,0,-90,-34.66588219,-79.09336705,0,0,0,0
0,0,-90,-35.37293174,-79.92632351,0,0,0,0
0,0,-90,-36.07804557,-80.75122794,0,0,0,0
0,0,-90,-36.78139852,-81.56830976,0,0,0,0
0,0,-90,-37.48315921,-82.37778653,0,0,0,0
0,0,-90,-38.18349044,-83.17986474,0,0,0,0
0,0,-90,-38.88254969,-83.97474047,0,0,0,0
0,0,-90,-39.58048943,-84.76260007,0,0,0,0
0,0,-90,-40.27745757,-85.54362074,0,0,0,0
0,0,-90,-40.97359767,-86.31797108,0,0,0,0
0,0,-90,-41.66904937,-87.08581158,0,0,0,0
0,0,-90,-42.36394859,-87.84729508,0,0,0,0
0,0,-90.5,-42.36394859,-87.84729508,0,0,0,0
0,0,-91,-42.36394859,-87.84729508,0,0,0,0
0,0,-91.5,-42.36394859,-87.84729508,0,0,0,0
0,0,-92,-42.36394859,-87.84729508,0,0,0,0
0,0,-92.5,-42.36394859,-87.84729508,0,0,0,0
0,0,-93,-42.36394859,-87.84729508,0,0,0,0
0,0,-93.5,-42.36394859,-87.84729508,0,0,0,0
0,0,-94,-42.36394859,-87.84729508,0,0,0,0
0,0,-94.5,-42.36394859,-87.84729508,0,0,0,0
0,0,-95,-42.36394859,-87.84729508,0,0,0,0
0,0,-95.5,-42.36394859,-87.84729508,0,0,0,0
0,0,-96,-42.36394859,-87.84729508,0,0,0,0
0,0,-96.5,-42.36394859,-87.84729508,0,0,0,0
0,0,-97,-42.36394859,-87.84729508,0,0,0,0
0,0,-97.5,-42.36394859,-87.84729508,0,0,0,0
0,0,-98,-42.36394859,-87.84729508,0,0,0,0
0,0,-98.5,-42.36394859,-87.84729508,0,0,0,0
0,0,-99,-42.36394859,-87.84729508,0,0,0,0
0,0,-99.5,-42.36394859,-87.84729508,0,0,0,0
0,0,-100,-42.36394859,-87.84729508,0,0,0,0
0,0,-100,-42.36394859,-87.84729508,0,0,0,0
0,0,-100,-42.3965733,-87.64237941,0,0,0,0
0,0,-100,-42.42776182,-87.43597477,0,0,0,0
0,0,-100,-42.45751325,-87.22807777,0,0,0,0
0,0,-100,-42.4858267,-87.01868492,0,0,0,0
0,0,-100,-42.51270119,-86.80779261,0,0,0,0
0,0,-100,-42.53813573,-86.59539707,0,0,0,0
0,0,-100,-42.56212925,-86.38149442,0,0,0,0
0,0,-100,-42.58468064,-86.16608066,0,0,0,0
0,0,-100,-42.60578873,-85.94915161,0,0,0,0
0,0,-100,-42.62545231,-85.73070298,0,0,0,0
0,0,-100,-42.64367008,-85.51073033,0,0,0,0
0,0,-100,-42.66044069,-85.28922907,0,0,0,0
0,0,-100,-42.67576275,-85.06619447,0,0,0,0
0,0,-100,-42.68963476,-84.84162162,0,0,0,0
0,0,-100,-42.70205518,-84.61550548,0,0,0,0
0,0,-100,-42.7130224,-84.38784083,0,0,0,0
0,0,-100,-42.72253471,-84.15862231,0,0,0,0
0,0,-100,-42.73059035,-83.92784437,0,0,0,0
